+------+-------------+----------------+----------------+----------------+---------------+---------------+---------------+----------------+----------------+----------------+---------------+---------------+---------------+--------------+--------------+
|  id  | paciente_id | aceleracion_x1 | aceleracion_y1 | aceleracion_z1 | giroscopio_x1 | giroscopio_y1 | giroscopio_z1 | aceleracion_x2 | aceleracion_y2 | aceleracion_z2 | giroscopio_x2 | giroscopio_y2 | giroscopio_z2 | temperatura1 | temperatura2 |
| 1137 |      1      |   -0.352951    |   -0.2818709   |   -0.5097794   |  -0.8549618   |   -2.770992   |   -1.030534   |   -0.3076861   |   -0.3053591   |   -0.4744869   |   -3.366412   |  0.08396947   |   0.2748091   |    209.33    |    213.33    |
| 1136 |      1      |   -0.3535855   |   -0.2804213   |   -0.5071384   |   0.1755725   |   -3.129771   |   -1.038168   |   -0.3058906   |   -0.3045762   |   -0.4775432   |   -3.435115   |   0.6335878   |   0.389313    |   209.2829   |   213.3771   |
| 1135 |      1      |   -0.3491591   |   -0.2791694   |   -0.5091268   |   0.8015267   |   -3.160305   |   -1.183206   |   -0.3076056   |   -0.3069492   |   -0.4769666   |   -3.40458    |   0.7099237   |   0.2442748   |   209.2359   |   213.3771   |
| 1134 |      1      |   -0.3484449   |   -0.2794396   |   -0.5085326   |  -0.8396947   |   -3.007634   |   -1.030534   |   -0.3059187   |   -0.3059819   |   -0.4756011   |   -3.419847   |   0.6030535   |   0.3129771   |   209.2829   |   213.3771   |
| 1133 |      1      |   -0.3509435   |   -0.2810654   |   -0.5078723   |   -1.068702   |   -3.10687    |  -0.9160305   |   -0.3070858   |   -0.3052507   |   -0.4723632   |   -3.465649   |   0.3129771   |   0.2900764   |   209.2359   |    213.33    |
| 1132 |      1      |   -0.3461115   |   -0.2764175   |   -0.5041503   |  0.02290076   |   -2.916031   |   -1.015267   |   -0.3042374   |   -0.3036994   |   -0.4747927   |   -3.358779   |   0.3664122   |   0.4580153   |   209.2829   |   213.3771   |
| 1131 |      1      |   -0.3504118   |   -0.2790944   |   -0.5063679   |  -0.7557252   |   -2.992366   |  -0.9389313   |   -0.3042729   |   -0.3033296   |   -0.4721483   |   -3.503817   |  0.07633588   |   0.3358779   |   209.2359   |   213.3771   |
| 1130 |      1      |   -0.3490743   |   -0.2765352   |   -0.5052256   |   -1.015267   |   -2.740458   |  -0.9160305   |   -0.3051541   |   -0.303511    |   -0.4747871   |   -3.458015   |   0.480916    |   0.2900764   |   209.2829   |   213.3771   |
| 1129 |      1      |   -0.3491879   |   -0.2778713   |   -0.5058709   |  -0.7251908   |   -3.045802   |  -0.9770992   |   -0.3060868   |   -0.3032024   |   -0.4730449   |   -3.442748   |   0.3206107   |   0.3053435   |   209.2359   |   213.2829   |
| 1128 |      1      |   -0.3501835   |   -0.280049    |   -0.5101645   |  -0.05343511  |   -3.083969   |   -1.137405   |   -0.3089566   |   -0.3060224   |   -0.4760924   |   -3.282443   |   0.3664122   |   0.2977099   |   209.2829   |   213.2829   |
| 1127 |      1      |   -0.3478066   |   -0.2783802   |   -0.5061764   |  -0.8091603   |   -2.725191   |   -1.045802   |   -0.304463    |   -0.3035343   |   -0.4744743   |   -3.496183   |   0.2900764   |   0.2977099   |   209.2359   |    213.33    |
| 1126 |      1      |   -0.3506944   |   -0.2810154   |   -0.5034828   |  -0.7251908   |   -3.129771   |  -0.9770992   |   -0.3036843   |   -0.3017128   |   -0.4717598   |   -3.366412   |   0.5648855   |   0.3282443   |   209.2359   |    213.33    |
| 1125 |      1      |   -0.3504347   |   -0.279177    |   -0.5104515   |   -0.778626   |   -2.961832   |   -1.099237   |   -0.3094958   |   -0.3051629   |   -0.4745416   |   -3.351145   |   0.4580153   |   0.4274809   |   209.2359   |   213.2359   |
